muni,state,muni_fines,state_fines
Abaiara,CE,ABAIARA,CE
Acarape,CE,ACARAPE,CE
Acaraú,CE,ACARAU,CE
Acopiara,CE,ACOPIARA,CE
Aiuaba,CE,AIUABA,CE
Alcântaras,CE,ALCANTARAS,CE
Altaneira,CE,ALTANEIRA,CE
Alto Santo,CE,ALTO SANTO,CE
Amontada,CE,AMONTADA,CE
Antonina do Norte,CE,ANTONINA DO NORTE,CE
Apuiarés,CE,APUIARES,CE
Aquiraz,CE,AQUIRAZ,CE
Aracati,CE,ARACATI,CE
Aracoiaba,CE,ARACOIABA,CE
Ararendá,CE,ARARENDA,CE
Araripe,CE,ARARIPE,CE
Aratuba,CE,ARATUBA,CE
Arneiroz,CE,ARNEIROZ,CE
Assaré,CE,ASSARE,CE
Aurora,CE,AURORA,CE
Baixio,CE,BAIXIO,CE
Banabuiú,CE,BANABUIU,CE
Barbalha,CE,BARBALHA,CE
Barreira,CE,BARREIRA,CE
Barro,CE,BARRO,CE
Barroquinha,CE,BARROQUINHA,CE
Baturité,CE,BATURITE,CE
Beberibe,CE,BEBERIBE,CE
Bela Cruz,CE,BELA CRUZ,CE
Boa Viagem,CE,BOA VIAGEM,CE
Brejo Santo,CE,BREJO SANTO,CE
Camocim,CE,CAMOCIM,CE
Campos Sales,CE,CAMPOS SALES,CE
Canindé,CE,CANINDE,CE
Capistrano,CE,CAPISTRANO,CE
Caridade,CE,CARIDADE,CE
Cariré,CE,CARIRE,CE
Caririaçu,CE,CARIRIACU,CE
Cariús,CE,CARIUS,CE
Carnaubal,CE,CARNAUBAL,CE
Cascavel,CE,CASCAVEL,CE
Catarina,CE,CATARINA,CE
Catunda,CE,CATUNDA,CE
Caucaia,CE,CAUCAIA,CE
Cedro,CE,CEDRO,CE
Chaval,CE,CHAVAL,CE
Choró,CE,CHORO,CE
Chorozinho,CE,CHOROZINHO,CE
Coreaú,CE,COREAU,CE
Crateús,CE,CRATEUS,CE
Crato,CE,CRATO,CE
Croatá,CE,CROATA,CE
Cruz,CE,CRUZ,CE
Deputado Irapuan Pinheiro,CE,DEPUTADO IRAPUAN PINHEIRO,CE
Ereré,CE,ERERE,CE
Eusébio,CE,EUSEBIO,CE
Farias Brito,CE,FARIAS BRITO,CE
Forquilha,CE,FORQUILHA,CE
Fortaleza,CE,FORTALEZA,CE
Fortim,CE,FORTIM,CE
Frecheirinha,CE,FRECHEIRINHA,CE
General Sampaio,CE,GENERAL SAMPAIO,CE
Graça,CE,GRACA,CE
Granja,CE,GRANJA,CE
Granjeiro,CE,GRANJEIRO,CE
Groaíras,CE,GROAIRAS,CE
Guaiúba,CE,GUAIUBA,CE
Guaraciaba do Norte,CE,GUARACIABA DO NORTE,CE
Guaramiranga,CE,GUARAMIRANGA,CE
Hidrolândia,CE,HIDROLANDIA,CE
Horizonte,CE,HORIZONTE,CE
Ibaretama,CE,IBARETAMA,CE
Ibiapina,CE,IBIAPINA,CE
Ibicuitinga,CE,IBICUITINGA,CE
Icapuí,CE,ICAPUI,CE
Icó,CE,ICO,CE
Iguatu,CE,IGUATU,CE
Independência,CE,INDEPENDENCIA,CE
Ipaporanga,CE,IPAPORANGA,CE
Ipaumirim,CE,IPAUMIRIM,CE
Ipu,CE,IPU,CE
Ipueiras,CE,IPUEIRAS,CE
Iracema,CE,IRACEMA,CE
Irauçuba,CE,IRAUCUBA,CE
Itaiçaba,CE,ITAICABA,CE
Itaitinga,CE,ITAITINGA,CE
Itapajé,CE,ITAPAJE,CE
Itapipoca,CE,ITAPIPOCA,CE
Itapiúna,CE,ITAPIUNA,CE
Itarema,CE,ITAREMA,CE
Itatira,CE,ITATIRA,CE
Jaguaretama,CE,JAGUARETAMA,CE
Jaguaribara,CE,JAGUARIBARA,CE
Jaguaribe,CE,JAGUARIBE,CE
Jaguaruana,CE,JAGUARUANA,CE
Jardim,CE,JARDIM,CE
Jati,CE,JATI,CE
Jijoca de Jericoacoara,CE,JIJOCA DE JERICOACOARA,CE
Juazeiro do Norte,CE,JUAZEIRO DO NORTE,CE
Jucás,CE,JUCAS,CE
Lavras da Mangabeira,CE,LAVRAS DA MANGABEIRA,CE
Limoeiro do Norte,CE,LIMOEIRO DO NORTE,CE
Madalena,CE,MADALENA,CE
Maracanaú,CE,MARACANAU,CE
Maranguape,CE,MARANGUAPE,CE
Marco,CE,MARCO,CE
Martinópole,CE,MARTINOPOLE,CE
Massapê,CE,MASSAPE,CE
Mauriti,CE,MAURITI,CE
Meruoca,CE,MERUOCA,CE
Milagres,CE,MILAGRES,CE
Milhã,CE,MILHA,CE
Miraíma,CE,MIRAIMA,CE
Missão Velha,CE,MISSAO VELHA,CE
Mombaça,CE,MOMBACA,CE
Monsenhor Tabosa,CE,MONSENHOR TABOSA,CE
Morada Nova,CE,MORADA NOVA,CE
Moraújo,CE,MORAUJO,CE
Morrinhos,CE,MORRINHOS,CE
Mucambo,CE,MUCAMBO,CE
Mulungu,CE,MULUNGU,CE
Nova Olinda,CE,NOVA OLINDA,CE
Nova Russas,CE,NOVA RUSSAS,CE
Novo Oriente,CE,NOVO ORIENTE,CE
Ocara,CE,OCARA,CE
Orós,CE,OROS,CE
Pacajus,CE,PACAJUS,CE
Pacatuba,CE,PACATUBA,CE
Pacoti,CE,PACOTI,CE
Pacujá,CE,PACUJA,CE
Palhano,CE,PALHANO,CE
Palmácia,CE,PALMACIA,CE
Paracuru,CE,PARACURU,CE
Paraipaba,CE,PARAIPABA,CE
Parambu,CE,PARAMBU,CE
Paramoti,CE,PARAMOTI,CE
Pedra Branca,CE,PEDRA BRANCA,CE
Penaforte,CE,PENAFORTE,CE
Pentecoste,CE,PENTECOSTE,CE
Pereiro,CE,PEREIRO,CE
Pindoretama,CE,PINDORETAMA,CE
Piquet Carneiro,CE,PIQUET CARNEIRO,CE
Pires Ferreira,CE,PIRES FERREIRA,CE
Poranga,CE,PORANGA,CE
Porteiras,CE,PORTEIRAS,CE
Potengi,CE,POTENGI,CE
Potiretama,CE,POTIRETAMA,CE
Quiterianópolis,CE,QUITERIANOPOLIS,CE
Quixadá,CE,QUIXADA,CE
Quixelô,CE,QUIXELO,CE
Quixeramobim,CE,QUIXERAMOBIM,CE
Quixeré,CE,QUIXERE,CE
Redenção,CE,REDENCAO,CE
Reriutaba,CE,RERIUTABA,CE
Russas,CE,RUSSAS,CE
Saboeiro,CE,SABOEIRO,CE
Salitre,CE,SALITRE,CE
Santa Quitéria,CE,SANTA QUITERIA,CE
Santana do Acaraú,CE,SANTANA DO ACARAU,CE
Santana do Cariri,CE,SANTANA DO CARIRI,CE
São Benedito,CE,SAO BENEDITO,CE
São Gonçalo do Amarante,CE,SAO GONCALO DO AMARANTE,CE
São João do Jaguaribe,CE,SAO JOAO DO JAGUARIBE,CE
São Luís do Curu,CE,SAO LUIS DO CURU,CE
Senador Pompeu,CE,SENADOR POMPEU,CE
Senador Sá,CE,SENADOR SA,CE
Sobral,CE,SOBRAL,CE
Solonópole,CE,SOLONOPOLE,CE
Tabuleiro do Norte,CE,TABULEIRO DO NORTE,CE
Tamboril,CE,TAMBORIL,CE
Tarrafas,CE,TARRAFAS,CE
Tauá,CE,TAUA,CE
Tejuçuoca,CE,TEJUCUOCA,CE
Tianguá,CE,TIANGUA,CE
Trairi,CE,TRAIRI,CE
Tururu,CE,TURURU,CE
Ubajara,CE,UBAJARA,CE
Umari,CE,UMARI,CE
Umirim,CE,UMIRIM,CE
Uruburetama,CE,URUBURETAMA,CE
Uruoca,CE,URUOCA,CE
Varjota,CE,VARJOTA,CE
Várzea Alegre,CE,VARZEA ALEGRE,CE
Viçosa do Ceará,CE,VICOSA DO CEARA,CE
Brasília,DF,BRASILIA,DF
Afonso Cláudio,ES,AFONSO CLAUDIO,ES
Água Doce do Norte,ES,AGUA DOCE DO NORTE,ES
Águia Branca,ES,AGUIA BRANCA,ES
Alegre,ES,ALEGRE,ES
Alfredo Chaves,ES,ALFREDO CHAVES,ES
Alto Rio Novo,ES,ALTO RIO NOVO,ES
Anchieta,ES,ANCHIETA,ES
Apiacá,ES,APIACA,ES
Aracruz,ES,ARACRUZ,ES
Atílio Vivácqua,ES,ATILIO VIVACQUA,ES
Baixo Guandu,ES,BAIXO GUANDU,ES
Barra de São Francisco,ES,BARRA DE SAO FRANCISCO,ES
Boa Esperança,ES,BOA ESPERANCA,ES
Bom Jesus do Norte,ES,BOM JESUS DO NORTE,ES
Brejetuba,ES,BREJETUBA,ES
Cachoeiro de Itapemirim,ES,CACHOEIRO DE ITAPEMIRIM,ES
Cariacica,ES,CARIACICA,ES
Castelo,ES,CASTELO,ES
Colatina,ES,COLATINA,ES
Conceição da Barra,ES,CONCEICAO DA BARRA,ES
Conceição do Castelo,ES,CONCEICAO DO CASTELO,ES
Divino de São Lourenço,ES,DIVINO DE SAO LOURENCO,ES
Domingos Martins,ES,DOMINGOS MARTINS,ES
Dores do Rio Preto,ES,DORES DO RIO PRETO,ES
Ecoporanga,ES,ECOPORANGA,ES
Fundão,ES,FUNDAO,ES
Governador Lindenberg,ES,GOVERNADOR LINDENBERG,ES
Guaçuí,ES,GUACUI,ES
Guarapari,ES,GUARAPARI,ES
Ibatiba,ES,IBATIBA,ES
Ibiraçu,ES,IBIRACU,ES
Ibitirama,ES,IBITIRAMA,ES
Iconha,ES,ICONHA,ES
Irupi,ES,IRUPI,ES
Itaguaçu,ES,ITAGUACU,ES
Itapemirim,ES,ITAPEMIRIM,ES
Itarana,ES,ITARANA,ES
Iúna,ES,IUNA,ES
Jaguaré,ES,JAGUARE,ES
Jerônimo Monteiro,ES,JERONIMO MONTEIRO,ES
João Neiva,ES,JOAO NEIVA,ES
Laranja da Terra,ES,LARANJA DA TERRA,ES
Linhares,ES,LINHARES,ES
Mantenópolis,ES,MANTENOPOLIS,ES
Marataízes,ES,MARATAIZES,ES
Marechal Floriano,ES,MARECHAL FLORIANO,ES
Marilândia,ES,MARILANDIA,ES
Mimoso do Sul,ES,MIMOSO DO SUL,ES
Montanha,ES,MONTANHA,ES
Mucurici,ES,MUCURICI,ES
Muniz Freire,ES,MUNIZ FREIRE,ES
Muqui,ES,MUQUI,ES
Nova Venécia,ES,NOVA VENECIA,ES
Pancas,ES,PANCAS,ES
Pedro Canário,ES,PEDRO CANARIO,ES
Pinheiros,ES,PINHEIROS,ES
Piúma,ES,PIUMA,ES
Ponto Belo,ES,PONTO BELO,ES
Presidente Kennedy,ES,PRESIDENTE KENNEDY,ES
Rio Bananal,ES,RIO BANANAL,ES
Rio Novo do Sul,ES,RIO NOVO DO SUL,ES
Santa Leopoldina,ES,SANTA LEOPOLDINA,ES
Santa Maria de Jetibá,ES,SANTA MARIA DE JETIBA,ES
Santa Teresa,ES,SANTA TERESA,ES
São Domingos do Norte,ES,SAO DOMINGOS DO NORTE,ES
São Gabriel da Palha,ES,SAO GABRIEL DA PALHA,ES
São José do Calçado,ES,SAO JOSE DO CALCADO,ES
São Mateus,ES,SAO MATEUS,ES
São Roque do Canaã,ES,SAO ROQUE DO CANAA,ES
Serra,ES,SERRA,ES
Sooretama,ES,SOORETAMA,ES
Vargem Alta,ES,VARGEM ALTA,ES
Venda Nova do Imigrante,ES,VENDA NOVA DO IMIGRANTE,ES
Viana,ES,VIANA,ES
Vila Pavão,ES,VILA PAVAO,ES
Vila Valério,ES,VILA VALERIO,ES
Vila Velha,ES,VILA VELHA,ES
Vitória,ES,VITORIA,ES
Abadia de Goiás,GO,ABADIA DE GOIAS,GO
Abadiânia,GO,ABADIANIA,GO
Acreúna,GO,ACREUNA,GO
Adelândia,GO,ADELANDIA,GO
Água Fria de Goiás,GO,AGUA FRIA DE GOIAS,GO
Água Limpa,GO,AGUA LIMPA,GO
Águas Lindas de Goiás,GO,AGUAS LINDAS DE GOIAS,GO
Alexânia,GO,ALEXANIA,GO
Aloândia,GO,ALOANDIA,GO
Alto Horizonte,GO,ALTO HORIZONTE,GO
Alto Paraíso de Goiás,GO,ALTO PARAISO DE GOIAS,GO
Alvorada do Norte,GO,ALVORADA DO NORTE,GO
Amaralina,GO,AMARALINA,GO
Americano do Brasil,GO,AMERICANO DO BRASIL,GO
Amorinópolis,GO,AMORINOPOLIS,GO
Anápolis,GO,ANAPOLIS,GO
Anhanguera,GO,ANHANGUERA,GO
Anicuns,GO,ANICUNS,GO
Aparecida de Goiânia,GO,APARECIDA DE GOIANIA,GO
Aparecida do Rio Doce,GO,APARECIDA DO RIO DOCE,GO
Aporé,GO,APORE,GO
Araçu,GO,ARACU,GO
Aragarças,GO,ARAGARCAS,GO
Aragoiânia,GO,ARAGOIANIA,GO
Araguapaz,GO,ARAGUAPAZ,GO
Arenópolis,GO,ARENOPOLIS,GO
Aruanã,GO,ARUANA,GO
Aurilândia,GO,AURILANDIA,GO
Avelinópolis,GO,AVELINOPOLIS,GO
Baliza,GO,BALIZA,GO
Barro Alto,GO,BARRO ALTO,GO
Bela Vista de Goiás,GO,BELA VISTA DE GOIAS,GO
Bom Jardim de Goiás,GO,BOM JARDIM DE GOIAS,GO
Bom Jesus de Goiás,GO,BOM JESUS DE GOIAS,GO
Bonfinópolis,GO,BONFINOPOLIS,GO
Bonópolis,GO,BONOPOLIS,GO
Brazabrantes,GO,BRAZABRANTES,GO
Britânia,GO,BRITANIA,GO
Buriti Alegre,GO,BURITI ALEGRE,GO
Buriti de Goiás,GO,BURITI DE GOIAS,GO
Buritinópolis,GO,BURITINOPOLIS,GO
Cabeceiras,GO,CABECEIRAS,GO
Cachoeira Alta,GO,CACHOEIRA ALTA,GO
Cachoeira de Goiás,GO,CACHOEIRA DE GOIAS,GO
Cachoeira Dourada,GO,CACHOEIRA DOURADA,GO
Caçu,GO,CACU,GO
Caiapônia,GO,CAIAPONIA,GO
Caldas Novas,GO,CALDAS NOVAS,GO
Caldazinha,GO,CALDAZINHA,GO
Campestre de Goiás,GO,CAMPESTRE DE GOIAS,GO
Campinaçu,GO,CAMPINACU,GO
Campinorte,GO,CAMPINORTE,GO
Campo Alegre de Goiás,GO,CAMPO ALEGRE DE GOIAS,GO
Campo Limpo de Goiás,GO,CAMPO LIMPO DE GOIAS,GO
Campos Belos,GO,CAMPOS BELOS,GO
Campos Verdes,GO,CAMPOS VERDES,GO
Carmo do Rio Verde,GO,CARMO DO RIO VERDE,GO
Castelândia,GO,CASTELANDIA,GO
Catalão,GO,CATALAO,GO
Caturaí,GO,CATURAI,GO
Cavalcante,GO,CAVALCANTE,GO
Ceres,GO,CERES,GO
Cezarina,GO,CEZARINA,GO
Chapadão do Céu,GO,CHAPADAO DO CEU,GO
Cidade Ocidental,GO,CIDADE OCIDENTAL,GO
Cocalzinho de Goiás,GO,COCALZINHO DE GOIAS,GO
Colinas do Sul,GO,COLINAS DO SUL,GO
Córrego do Ouro,GO,CORREGO DO OURO,GO
Corumbá de Goiás,GO,CORUMBA DE GOIAS,GO
Corumbaíba,GO,CORUMBAIBA,GO
Cristalina,GO,CRISTALINA,GO
Cristianópolis,GO,CRISTIANOPOLIS,GO
Crixás,GO,CRIXAS,GO
Cromínia,GO,CROMINIA,GO
Cumari,GO,CUMARI,GO
Damianópolis,GO,DAMIANOPOLIS,GO
Damolândia,GO,DAMOLANDIA,GO
Davinópolis,GO,DAVINOPOLIS,GO
Diorama,GO,DIORAMA,GO
Divinópolis de Goiás,GO,DIVINOPOLIS DE GOIAS,GO
Doverlândia,GO,DOVERLANDIA,GO
Edealina,GO,EDEALINA,GO
Edéia,GO,EDEIA,GO
Estrela do Norte,GO,ESTRELA DO NORTE,GO
Faina,GO,FAINA,GO
Fazenda Nova,GO,FAZENDA NOVA,GO
Firminópolis,GO,FIRMINOPOLIS,GO
Flores de Goiás,GO,FLORES DE GOIAS,GO
Formosa,GO,FORMOSA,GO
Formoso,GO,FORMOSO,GO
Gameleira de Goiás,GO,GAMELEIRA DE GOIAS,GO
Goianápolis,GO,GOIANAPOLIS,GO
Goiandira,GO,GOIANDIRA,GO
Goianésia,GO,GOIANESIA,GO
Goiânia,GO,GOIANIA,GO
Goianira,GO,GOIANIRA,GO
Goiás,GO,GOIAS,GO
Goiatuba,GO,GOIATUBA,GO
Gouvelândia,GO,GOUVELANDIA,GO
Guapó,GO,GUAPO,GO
Guaraíta,GO,GUARAITA,GO
Guarani de Goiás,GO,GUARANI DE GOIAS,GO
Guarinos,GO,GUARINOS,GO
Heitoraí,GO,HEITORAI,GO
Hidrolândia,GO,HIDROLANDIA,GO
Hidrolina,GO,HIDROLINA,GO
Iaciara,GO,IACIARA,GO
Inaciolândia,GO,INACIOLANDIA,GO
Indiara,GO,INDIARA,GO
Inhumas,GO,INHUMAS,GO
Ipameri,GO,IPAMERI,GO
Ipiranga de Goiás,GO,IPIRANGA DE GOIAS,GO
Iporá,GO,IPORA,GO
Israelândia,GO,ISRAELANDIA,GO
Itaberaí,GO,ITABERAI,GO
Itaguari,GO,ITAGUARI,GO
Itaguaru,GO,ITAGUARU,GO
Itajá,GO,ITAJA,GO
Itapaci,GO,ITAPACI,GO
Itapirapuã,GO,ITAPIRAPUA,GO
Itapuranga,GO,ITAPURANGA,GO
Itarumã,GO,ITARUMA,GO
Itauçu,GO,ITAUCU,GO
Itumbiara,GO,ITUMBIARA,GO
Ivolândia,GO,IVOLANDIA,GO
Jandaia,GO,JANDAIA,GO
Jaraguá,GO,JARAGUA,GO
Jataí,GO,JATAI,GO
Jaupaci,GO,JAUPACI,GO
Jesúpolis,GO,JESUPOLIS,GO
Joviânia,GO,JOVIANIA,GO
Jussara,GO,JUSSARA,GO
Lagoa Santa,GO,LAGOA SANTA,GO
Leopoldo de Bulhões,GO,LEOPOLDO DE BULHOES,GO
Luziânia,GO,LUZIANIA,GO
Mairipotaba,GO,MAIRIPOTABA,GO
Mambaí,GO,MAMBAI,GO
Mara Rosa,GO,MARA ROSA,GO
Marzagão,GO,MARZAGAO,GO
Matrinchã,GO,MATRINCHA,GO
Maurilândia,GO,MAURILANDIA,GO
Mimoso de Goiás,GO,MIMOSO DE GOIAS,GO
Minaçu,GO,MINACU,GO
Mineiros,GO,MINEIROS,GO
Moiporá,GO,MOIPORA,GO
Monte Alegre de Goiás,GO,MONTE ALEGRE DE GOIAS,GO
Montes Claros de Goiás,GO,MONTES CLAROS DE GOIAS,GO
Montividiu,GO,MONTIVIDIU,GO
Montividiu do Norte,GO,MONTIVIDIU DO NORTE,GO
Morrinhos,GO,MORRINHOS,GO
Morro Agudo de Goiás,GO,MORRO AGUDO DE GOIAS,GO
Mossâmedes,GO,MOSSAMEDES,GO
Mozarlândia,GO,MOZARLANDIA,GO
Mundo Novo,GO,MUNDO NOVO,GO
Mutunópolis,GO,MUTUNOPOLIS,GO
Nazário,GO,NAZARIO,GO
Nerópolis,GO,NEROPOLIS,GO
Niquelândia,GO,NIQUELANDIA,GO
Nova América,GO,NOVA AMERICA,GO
Nova Aurora,GO,NOVA AURORA,GO
Nova Crixás,GO,NOVA CRIXAS,GO
Nova Glória,GO,NOVA GLORIA,GO
Nova Iguaçu de Goiás,GO,NOVA IGUACU DE GOIAS,GO
Nova Roma,GO,NOVA ROMA,GO
Nova Veneza,GO,NOVA VENEZA,GO
Novo Brasil,GO,NOVO BRASIL,GO
Novo Gama,GO,NOVO GAMA,GO
Novo Planalto,GO,NOVO PLANALTO,GO
Orizona,GO,ORIZONA,GO
Ouro Verde de Goiás,GO,OURO VERDE DE GOIAS,GO
Ouvidor,GO,OUVIDOR,GO
Padre Bernardo,GO,PADRE BERNARDO,GO
Palestina de Goiás,GO,PALESTINA DE GOIAS,GO
Palmeiras de Goiás,GO,PALMEIRAS DE GOIAS,GO
Palmelo,GO,PALMELO,GO
Palminópolis,GO,PALMINOPOLIS,GO
Panamá,GO,PANAMA,GO
Paranaiguara,GO,PARANAIGUARA,GO
Paraúna,GO,PARAUNA,GO
Perolândia,GO,PEROLANDIA,GO
Petrolina de Goiás,GO,PETROLINA DE GOIAS,GO
Pilar de Goiás,GO,PILAR DE GOIAS,GO
Piracanjuba,GO,PIRACANJUBA,GO
Piranhas,GO,PIRANHAS,GO
Pirenópolis,GO,PIRENOPOLIS,GO
Pires do Rio,GO,PIRES DO RIO,GO
Planaltina,GO,PLANALTINA,GO
Pontalina,GO,PONTALINA,GO
Porangatu,GO,PORANGATU,GO
Porteirão,GO,PORTEIRAO,GO
Portelândia,GO,PORTELANDIA,GO
Posse,GO,POSSE,GO
Professor Jamil,GO,PROFESSOR JAMIL,GO
Quirinópolis,GO,QUIRINOPOLIS,GO
Rialma,GO,RIALMA,GO
Rianápolis,GO,RIANAPOLIS,GO
Rio Quente,GO,RIO QUENTE,GO
Rio Verde,GO,RIO VERDE,GO
Rubiataba,GO,RUBIATABA,GO
Sanclerlândia,GO,SANCLERLANDIA,GO
Santa Bárbara de Goiás,GO,SANTA BARBARA DE GOIAS,GO
Santa Cruz de Goiás,GO,SANTA CRUZ DE GOIAS,GO
Santa Fé de Goiás,GO,SANTA FE DE GOIAS,GO
Santa Helena de Goiás,GO,SANTA HELENA DE GOIAS,GO
Santa Isabel,GO,SANTA ISABEL,GO
Santa Rita do Araguaia,GO,SANTA RITA DO ARAGUAIA,GO
Santa Rita do Novo Destino,GO,SANTA RITA DO NOVO DESTINO,GO
Santa Rosa de Goiás,GO,SANTA ROSA DE GOIAS,GO
Santa Tereza de Goiás,GO,SANTA TEREZA DE GOIAS,GO
Santa Terezinha de Goiás,GO,SANTA TEREZINHA DE GOIAS,GO
Santo Antônio da Barra,GO,SANTO ANTONIO DA BARRA,GO
Santo Antônio de Goiás,GO,SANTO ANTONIO DE GOIAS,GO
Santo Antônio do Descoberto,GO,SANTO ANTONIO DO DESCOBERTO,GO
São Domingos,GO,SAO DOMINGOS,GO
São Francisco de Goiás,GO,SAO FRANCISCO DE GOIAS,GO
São João d'Aliança,GO,SAO JOAO D'ALIANCA,GO
São João da Paraúna,GO,SAO JOAO DA PARAUNA,GO
São Luís de Montes Belos,GO,SAO LUIS DE MONTES BELOS,GO
São Luiz do Norte,GO,SAO LUIZ DO NORTE,GO
São Miguel do Araguaia,GO,SAO MIGUEL DO ARAGUAIA,GO
São Miguel do Passa Quatro,GO,SAO MIGUEL DO PASSA QUATRO,GO
São Patrício,GO,SAO PATRICIO,GO
São Simão,GO,SAO SIMAO,GO
Senador Canedo,GO,SENADOR CANEDO,GO
Serranópolis,GO,SERRANOPOLIS,GO
Silvânia,GO,SILVANIA,GO
Simolândia,GO,SIMOLANDIA,GO
Sítio d'Abadia,GO,SITIO D'ABADIA,GO
Taquaral de Goiás,GO,TAQUARAL DE GOIAS,GO
Teresina de Goiás,GO,TERESINA DE GOIAS,GO
Terezópolis de Goiás,GO,TEREZOPOLIS DE GOIAS,GO
Três Ranchos,GO,TRES RANCHOS,GO
Trindade,GO,TRINDADE,GO
Trombas,GO,TROMBAS,GO
Turvânia,GO,TURVANIA,GO
Turvelândia,GO,TURVELANDIA,GO
Uirapuru,GO,UIRAPURU,GO
Uruaçu,GO,URUACU,GO
Uruana,GO,URUANA,GO
Urutaí,GO,URUTAI,GO
Valparaíso de Goiás,GO,VALPARAISO DE GOIAS,GO
Varjão,GO,VARJAO,GO
Vianópolis,GO,VIANOPOLIS,GO
Vicentinópolis,GO,VICENTINOPOLIS,GO
Vila Boa,GO,VILA BOA,GO
Vila Propício,GO,VILA PROPICIO,GO
Açailândia,MA,ACAILANDIA,MA
Afonso Cunha,MA,AFONSO CUNHA,MA
Água Doce do Maranhão,MA,AGUA DOCE DO MARANHAO,MA
Alcântara,MA,ALCANTARA,MA
Aldeias Altas,MA,ALDEIAS ALTAS,MA
Altamira do Maranhão,MA,ALTAMIRA DO MARANHAO,MA
Alto Alegre do Maranhão,MA,ALTO ALEGRE DO MARANHAO,MA
Alto Alegre do Pindaré,MA,ALTO ALEGRE DO PINDARE,MA
Alto Parnaíba,MA,ALTO PARNAIBA,MA
Amapá do Maranhão,MA,AMAPA DO MARANHAO,MA
Amarante do Maranhão,MA,AMARANTE DO MARANHAO,MA
Anajatuba,MA,ANAJATUBA,MA
Anapurus,MA,ANAPURUS,MA
Apicum-Açu,MA,APICUM-ACU,MA
Araguanã,MA,ARAGUANA,MA
Araioses,MA,ARAIOSES,MA
Arame,MA,ARAME,MA
Arari,MA,ARARI,MA
Axixá,MA,AXIXA,MA
Bacabal,MA,BACABAL,MA
Bacabeira,MA,BACABEIRA,MA
Bacuri,MA,BACURI,MA
Bacurituba,MA,BACURITUBA,MA
Balsas,MA,BALSAS,MA
Barão de Grajaú,MA,BARAO DE GRAJAU,MA
Barra do Corda,MA,BARRA DO CORDA,MA
Barreirinhas,MA,BARREIRINHAS,MA
Bela Vista do Maranhão,MA,BELA VISTA DO MARANHAO,MA
Belágua,MA,BELAGUA,MA
Benedito Leite,MA,BENEDITO LEITE,MA
Bequimão,MA,BEQUIMAO,MA
Bernardo do Mearim,MA,BERNARDO DO MEARIM,MA
Boa Vista do Gurupi,MA,BOA VISTA DO GURUPI,MA
Bom Jardim,MA,BOM JARDIM,MA
Bom Jesus das Selvas,MA,BOM JESUS DAS SELVAS,MA
Bom Lugar,MA,BOM LUGAR,MA
Brejo,MA,BREJO,MA
Brejo de Areia,MA,BREJO DE AREIA,MA
Buriti,MA,BURITI,MA
Buriti Bravo,MA,BURITI BRAVO,MA
Buriticupu,MA,BURITICUPU,MA
Buritirana,MA,BURITIRANA,MA
Cachoeira Grande,MA,CACHOEIRA GRANDE,MA
Cajapió,MA,CAJAPIO,MA
Cajari,MA,CAJARI,MA
Campestre do Maranhão,MA,CAMPESTRE DO MARANHAO,MA
Cândido Mendes,MA,CANDIDO MENDES,MA
Cantanhede,MA,CANTANHEDE,MA
Capinzal do Norte,MA,CAPINZAL DO NORTE,MA
Carolina,MA,CAROLINA,MA
Carutapera,MA,CARUTAPERA,MA
Caxias,MA,CAXIAS,MA
Cedral,MA,CEDRAL,MA
Central do Maranhão,MA,CENTRAL DO MARANHAO,MA
Centro do Guilherme,MA,CENTRO DO GUILHERME,MA
Centro Novo do Maranhão,MA,CENTRO NOVO DO MARANHAO,MA
Chapadinha,MA,CHAPADINHA,MA
Cidelândia,MA,CIDELANDIA,MA
Codó,MA,CODO,MA
Coelho Neto,MA,COELHO NETO,MA
Colinas,MA,COLINAS,MA
Conceição do Lago-Açu,MA,CONCEICAO DO LAGO-ACU,MA
Coroatá,MA,COROATA,MA
Cururupu,MA,CURURUPU,MA
Davinópolis,MA,DAVINOPOLIS,MA
Dom Pedro,MA,DOM PEDRO,MA
Duque Bacelar,MA,DUQUE BACELAR,MA
Esperantinópolis,MA,ESPERANTINOPOLIS,MA
Estreito,MA,ESTREITO,MA
Feira Nova do Maranhão,MA,FEIRA NOVA DO MARANHAO,MA
Fernando Falcão,MA,FERNANDO FALCAO,MA
Formosa da Serra Negra,MA,FORMOSA DA SERRA NEGRA,MA
Fortaleza dos Nogueiras,MA,FORTALEZA DOS NOGUEIRAS,MA
Fortuna,MA,FORTUNA,MA
Godofredo Viana,MA,GODOFREDO VIANA,MA
Gonçalves Dias,MA,GONCALVES DIAS,MA
Governador Archer,MA,GOVERNADOR ARCHER,MA
Governador Edison Lobão,MA,GOVERNADOR EDISON LOBAO,MA
Governador Eugênio Barros,MA,GOVERNADOR EUGENIO BARROS,MA
Governador Luiz Rocha,MA,GOVERNADOR LUIZ ROCHA,MA
Governador Newton Bello,MA,GOVERNADOR NEWTON BELLO,MA
Governador Nunes Freire,MA,GOVERNADOR NUNES FREIRE,MA
Graça Aranha,MA,GRACA ARANHA,MA
Grajaú,MA,GRAJAU,MA
Guimarães,MA,GUIMARAES,MA
Humberto de Campos,MA,HUMBERTO DE CAMPOS,MA
Icatu,MA,ICATU,MA
Igarapé do Meio,MA,IGARAPE DO MEIO,MA
